CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2258	9797	19	0.9584	0.000
5348	15520	19	0.932	0.000
4284	10925	19	0.9656	-0.000
10077	15670	19	0.9626	-0.001
10442	16675	19	0.9312	-0.000
4311	10925	19	0.945	-0.000
4311	12091	19	0.9697	0.000
343	15550	19	0.8765	0.000
10253	12742	19	0.984	-0.000
470	7132	19	0.9643	0.000
4284	9797	19	0.9563	0.000
10316	12103	19	0.9307	14.016
470	5907	19	0.9375	0.000
5348	13264	19	0.9041	-24.000
4311	10663	19	0.9734	-0.000
2258	12091	19	0.9318	0.000
1547	2125	19	0.9306	0.000
9797	12742	19	0.9237	-0.000
6161	12091	19	0.9863	0.000
10259	11303	19	0.9481	-14.016
10259	13264	19	0.9257	0.000
5348	7569	19	0.9351	0.000
2258	10925	19	0.9618	0.000
3288	4284	19	0.9367	0.000
8420	10316	19	0.9587	-14.016
2258	6161	19	0.9259	0.000
1888	2258	19	0.9327	60.021
6593	16182	19	0.9291	0.000
2258	3288	19	0.9288	0.000
1248	13334	19	0.9141	0.000
4096	10925	19	0.9627	0.000
470	7796	19	0.9637	-0.000
7132	16182	19	0.9262	26.016
2125	10259	19	0.9399	0.000
3686	10501	19	0.9358	-0.000
10253	15670	19	0.9437	-0.000
4311	6161	19	0.9666	0.000
10442	14447	19	0.922	-0.000
4096	14404	19	0.9797	0.000
6593	13322	19	0.9102	0.000
5198	10623	19	0.8681	-14.016
1248	8818	19	0.9125	0.000
10116	10501	19	0.9492	-0.000
1888	12097	19	0.9016	42.011
2661	7796	19	0.9266	0.000
3686	9737	19	0.9473	0.000
2661	2679	19	0.9207	0.000
5462	13248	19	0.8778	0.000
6593	16771	19	0.9149	14.016
