structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q115946416,343.1234875,0,NA,C12H22O11
http://www.wikidata.org/entity/Q104936909,343.1176143,0,(-)-Excavacoumarin E,C19H18O6
http://www.wikidata.org/entity/Q104945377,343.1176143,0,"7-[[(2R,3S)-3-methyl-3-[[(2S)-4-methylidene-5-oxooxolan-2-yl]methyl]oxiran-2-yl]methoxy]chromen-2-one",C19H18O6
http://www.wikidata.org/entity/Q104945378,343.1176143,0,"7-[[(2R,3R)-3-methyl-3-[[(2R)-4-methylidene-5-oxooxolan-2-yl]methyl]oxiran-2-yl]methoxy]chromen-2-one",C19H18O6
http://www.wikidata.org/entity/Q104945379,343.1176143,0,"2',3'-Epoxyisocapnolactone",C19H18O6
http://www.wikidata.org/entity/Q83116527,343.1176143,0,"3',4',5,7-Tetramethoxyflavone",C19H18O6
http://www.wikidata.org/entity/Q27255597,343.1176143,0,6-Demethoxytangeretin,C19H18O6
http://www.wikidata.org/entity/Q110194102,343.1176143,0,"3,4',6,7-Tetramethoxyflavone",C19H18O6
http://www.wikidata.org/entity/Q105137285,343.1176143,0,"7-[(E,4S)-4-hydroxy-3-methyl-4-[(2R)-4-methyl-5-oxo-2H-furan-2-yl]but-2-enoxy]chromen-2-one",C19H18O6
http://www.wikidata.org/entity/Q82436396,343.1176143,0,"2-(3,4-Dimethoxyphenyl)-5,6-dimethoxy-4H-1-benzopyran-4-one",C19H18O6
http://www.wikidata.org/entity/Q105182636,343.1176143,0,7-hydroxy-5-[(E)-3-methyl-4-[(2R)-4-methyl-5-oxo-2H-furan-2-yl]but-2-enoxy]chromen-2-one,C19H18O6
http://www.wikidata.org/entity/Q110194104,343.1176143,0,"4',6,7,8-Tetramethoxyflavone",C19H18O6
http://www.wikidata.org/entity/Q105187316,343.1176143,0,"7-[[(2R,3S)-3-methyl-3-[[(2R)-4-methyl-5-oxo-2H-furan-2-yl]methyl]oxiran-2-yl]methoxy]chromen-2-one",C19H18O6
http://www.wikidata.org/entity/Q105187432,343.1176143,0,Excavatin E,C19H18O6
http://www.wikidata.org/entity/Q105187433,343.1176143,0,7-[(E)-4-[(2S)-4-(hydroxymethyl)-5-oxo-2H-furan-2-yl]-3-methylbut-2-enoxy]chromen-2-one,C19H18O6
http://www.wikidata.org/entity/Q105200886,343.1176143,0,Cerrosillin,C19H18O6
http://www.wikidata.org/entity/Q10861069,343.1176143,0,Zapotin,C19H18O6
http://www.wikidata.org/entity/Q27116014,343.1176143,0,"4',5,6,7-Tetramethoxyflavone",C19H18O6
http://www.wikidata.org/entity/Q105314284,343.1176143,0,8-hydroxy-7-[(E)-3-methyl-4-[(2S)-4-methylidene-5-oxooxolan-2-yl]but-2-enoxy]chromen-2-one,C19H18O6
http://www.wikidata.org/entity/Q105337642,343.1176143,0,"(12S,13S,16R)-9,12-dihydroxy-16-methyl-13-prop-1-en-2-yl-4,17-dioxatetracyclo[8.7.0.03,8.012,16]heptadeca-1(10),2,6,8-tetraene-5,11-dione",C19H18O6
http://www.wikidata.org/entity/Q82097787,343.1176143,0,"3,5,6,7-Tetramethoxyflavone",C19H18O6
http://www.wikidata.org/entity/Q104168642,343.0812288,0,"2-(1,3-Benzodioxol-5-yl)-5-hydroxy-6,7-dimethoxychromen-4-one",C18H14O7
http://www.wikidata.org/entity/Q83121856,343.0812288,0,"2-(1,3-Benzodioxol-5-yl)-5-hydroxy-3,7-dimethoxy-4H-chromen-4-one",C18H14O7
http://www.wikidata.org/entity/Q104394044,342.2791407,0,Dihydroevocarpine,C23H35NO
http://www.wikidata.org/entity/Q104983007,342.1699842,0,Tetrahydropalmatrubine,C20H23NO4
http://www.wikidata.org/entity/Q27252668,342.1699842,0,Corydine,C20H23NO4
http://www.wikidata.org/entity/Q105157061,342.1699842,0,"(3S,4S)-3-[(R)-ethoxy-(4-hydroxyphenyl)methyl]-4-(4-hydroxyphenyl)-1-methylpyrrolidin-2-one",C20H23NO4
http://www.wikidata.org/entity/Q105248893,342.1699842,0,"(2R)-2-[(E)-4-hydroperoxy-4-methylpent-2-enyl]-2,6-dimethylpyrano[3,2-c]quinolin-5-one",C20H23NO4
http://www.wikidata.org/entity/Q105248894,342.1699842,0,Peroxysimulenoline,C20H23NO4
http://www.wikidata.org/entity/Q104991138,342.1335987,0,"1,3,5-trihydroxy-2-[(2R)-2-hydroxy-3-methylbut-3-enyl]-10-methylacridin-9-one",C19H19NO5
http://www.wikidata.org/entity/Q105243177,342.1335987,0,"(2R)-2-[(2S)-1,2-dihydroxypropan-2-yl]-5-hydroxy-11-methyl-1,2-dihydrofuro[2,3-c]acridin-6-one",C19H19NO5
http://www.wikidata.org/entity/Q104397165,342.1335987,0,Gravacridonediol,C19H19NO5
